,0
vertex_181,0.06606605030758847
vertex_182,0.045834868070420975
vertex_183,0.04650342629996454
vertex_184,0.06814797857674708
vertex_185,0.04755347300719048
vertex_186,0.05207735801129073
vertex_187,0.04486510267370877
vertex_188,0.06463921599363393
vertex_189,0.11340213088105751
vertex_190,0.123076856378333
vertex_191,0.13699177750891411
vertex_192,0.04837707305730754
vertex_193,0.08023936189172723
vertex_194,0.07116937910937336
vertex_195,0.032085210881814076
vertex_196,0.04837637380569132
vertex_197,0.04119954914687986
vertex_198,0.046430946988234564
vertex_199,0.04000460551288392
vertex_200,0.08144555497990257
vertex_201,0.02748300227024921
vertex_202,0.08101950516818307
vertex_203,0.13959744041910935
vertex_204,0.10282038766673555
vertex_205,0.1461459816740781
vertex_206,0.2701738448008528
vertex_207,0.17388838277537577
vertex_208,0.2572656327903646
vertex_209,0.060304845796195154
vertex_210,0.09896464172007922
vertex_211,0.1433756746293556
vertex_212,0.04475402835456691
vertex_213,0.09569088802250189
vertex_214,0.09990627945947575
vertex_215,0.06966460100333188
vertex_216,0.06905050924655412
vertex_217,0.058109075309275164
vertex_218,0.04725122970584936
vertex_219,0.08072386743638317
vertex_220,0.10569933718765397
vertex_221,0.11283691571548812
vertex_222,0.09450127493207587
vertex_223,0.0476447541106412
vertex_224,0.035119492002477395
vertex_225,0.044207287643037704
vertex_226,0.042458326369229984
vertex_227,0.06026111148707587
vertex_228,0.07404418049708221
vertex_229,0.05623911936386831
vertex_230,0.04619020246105066
vertex_231,0.13426668904095293
vertex_232,0.10115354689864747
vertex_233,0.1487033445692073
vertex_234,0.07310570576337279
vertex_235,0.04095971989934547
vertex_236,0.04096455091441775
vertex_237,0.03910560503815466
vertex_238,0.04181260425542003
vertex_239,0.04566296485283518
vertex_240,0.08458298445876522
vertex_241,0.056237674683608276
vertex_242,0.0679462038445517
vertex_243,0.09330068808590734
vertex_244,0.08637980232959755
vertex_245,0.04392281265873827
vertex_246,0.057456989408990154
vertex_247,0.08094733254157929
vertex_248,0.03940896635653356
vertex_249,0.0565595418693049
vertex_250,0.10318931412198502
vertex_251,0.045221420134501096
vertex_252,0.04499487503286544
vertex_253,0.05753512805630411
vertex_254,0.0551816912431524
vertex_255,0.07579826182081074
vertex_256,0.07436054845621896
vertex_257,0.03217777002421258
vertex_258,0.04302932717396204
vertex_259,0.020555717798965003
vertex_260,0.042385841399257294
vertex_261,0.06307935437352676
vertex_262,0.08401575955924331
vertex_263,0.0785389688176511
vertex_264,0.11461441526374631
vertex_265,0.06910539932740116
vertex_266,0.08954452993537096
vertex_267,0.08511671653839895
vertex_268,0.11040527061269609
vertex_269,0.11582912017805584
vertex_270,0.12213898607652938
vertex_271,0.05769381450906214
vertex_272,0.06108742632642271
vertex_273,0.04355201933479543
vertex_274,0.08193378557034293
vertex_275,0.09039881940507871
vertex_276,0.10030693194066309
vertex_277,0.08901948717738657
vertex_278,0.10849759563682906
vertex_279,0.10085814137560438
vertex_280,0.04827856284451052
vertex_281,0.10352411897318126
vertex_282,0.09013164447772964
vertex_283,0.09739213026906778
vertex_284,0.10612194518820393
vertex_285,0.1383550555264365
vertex_286,0.15507753784876108
vertex_287,0.1404437607687653
vertex_288,0.14496861962186808
vertex_289,0.13639440122434576
vertex_290,0.13588100581495147
vertex_291,0.11387445220146761
vertex_292,0.16826416714861364
vertex_293,0.07386933131042508
vertex_294,0.05212155765988678
vertex_295,0.09095691010614745
vertex_296,0.08592539202392586
vertex_297,0.0755841115746738
vertex_298,0.15307681229714684
vertex_299,0.12346147991630069
vertex_300,0.13260404441247176
