rank,roi,name,network,n_vertices,mean_abs_diff,mean_signed_diff,mean_act_bumbo,mean_act_tarol
152,77,7Networks_LH_Default_Temp_4,Default,108,0.012335036881268024,0.010217241011559963,-0.2976225018501282,-0.3078397810459137
153,170,7Networks_RH_Cont_PFCl_1,Cont,89,0.012310806661844254,0.008146974258124828,0.012182597070932388,0.004035625606775284
154,68,7Networks_LH_Cont_PFCl_3,Cont,144,0.01220157090574503,0.006695511285215616,0.03230844810605049,0.02561294101178646
155,184,7Networks_RH_Default_Par_3,Default,85,0.012194863520562649,-0.000769756268709898,-0.029439600184559822,-0.028669845312833786
156,55,7Networks_LH_Limbic_OFC_1,Limbic,91,0.012169226072728634,0.010743486694991589,-0.05001872405409813,-0.06076221168041229
157,174,7Networks_RH_Cont_PFCl_5,Cont,94,0.012151028029620647,0.007947301492094994,0.017173003405332565,0.009225699119269848
158,16,7Networks_LH_SomMot_2,SomMot,109,0.012125362642109394,0.004050597082823515,-0.1039639413356781,-0.1080145388841629
159,191,7Networks_RH_Default_PFCdPFCm_1,Default,87,0.012009836733341217,0.010684026405215263,-0.027030548080801964,-0.03771457076072693
160,24,7Networks_LH_SomMot_10,SomMot,156,0.011923733167350292,0.0013959557982161641,-0.04975513368844986,-0.0511510856449604
161,198,7Networks_RH_Default_pCunPCC_1,Default,30,0.011836818419396877,0.010226060636341572,-0.19681818783283234,-0.20704427361488342
162,17,7Networks_LH_SomMot_3,SomMot,137,0.011810308322310448,-0.0009576724842190742,-0.03170876204967499,-0.03075108863413334
163,158,7Networks_RH_SalVentAttn_Med_3,SalVentAttn,76,0.011701814830303192,0.005262065678834915,-0.030710838735103607,-0.03597290441393852
164,168,7Networks_RH_Cont_Temp_1,Cont,84,0.01164190098643303,0.008324675261974335,-0.046338554471731186,-0.05466322600841522
165,90,7Networks_LH_Default_PFC_8,Default,68,0.011631007306277752,0.007528710179030895,-0.004775429610162973,-0.012304139323532581
166,49,7Networks_LH_SalVentAttn_FrOperIns_3,SalVentAttn,106,0.011615236289799213,0.004352780058979988,0.006606746464967728,0.0022539664059877396
167,123,7Networks_RH_SomMot_8,SomMot,64,0.011528795585036278,0.0067349206656217575,0.05720704048871994,0.05047211796045303
168,167,7Networks_RH_Cont_Par_3,Cont,105,0.011493624188005924,0.001366275828331709,0.05162469297647476,0.05025841295719147
169,51,7Networks_LH_SalVentAttn_PFCl_1,SalVentAttn,137,0.01148560456931591,0.009151425212621689,0.013578849844634533,0.004427424166351557
170,164,7Networks_RH_Limbic_TempPole_3,Limbic,69,0.01146259531378746,0.008368076756596565,-0.017636695876717567,-0.026004770770668983
171,179,7Networks_RH_Cont_Cing_2,Cont,64,0.011241606436669827,0.004387281369417906,-0.0024531204253435135,-0.006840402260422707
172,64,7Networks_LH_Cont_Temp_1,Cont,94,0.0111821498721838,0.010691298171877861,-0.09345591068267822,-0.10414721071720123
173,157,7Networks_RH_SalVentAttn_Med_2,SalVentAttn,67,0.011123519390821457,0.008853144943714142,0.051242999732494354,0.04238985851407051
174,169,7Networks_RH_Cont_PFCv_1,Cont,43,0.011058502830564976,0.006387429311871529,-0.010023280046880245,-0.016410714015364647
175,18,7Networks_LH_SomMot_4,SomMot,151,0.011018475517630577,-0.0031735722441226244,-0.0345684215426445,-0.0313948430120945
176,23,7Networks_LH_SomMot_9,SomMot,125,0.010948700830340385,0.00100551953073591,-0.05001217499375343,-0.05101770907640457
177,54,7Networks_LH_SalVentAttn_Med_3,SalVentAttn,88,0.010935183614492416,0.006496973801404238,-0.05387236177921295,-0.060369327664375305
178,21,7Networks_LH_SomMot_7,SomMot,118,0.01091704424470663,0.0042667570523917675,0.016544193029403687,0.012277432717382908
179,122,7Networks_RH_SomMot_7,SomMot,91,0.010895982384681702,0.003209100104868412,0.03304483741521835,0.029835740104317665
180,153,7Networks_RH_SalVentAttn_FrOperIns_2,SalVentAttn,60,0.010813354514539242,0.004258717875927687,0.022515153512358665,0.01825643517076969
181,48,7Networks_LH_SalVentAttn_FrOperIns_2,SalVentAttn,145,0.010732218623161316,-0.001018494600430131,0.053295865654945374,0.05431436374783516
182,189,7Networks_RH_Default_Temp_5,Default,76,0.010686707682907581,0.008433707058429718,-0.32280096411705017,-0.3312346935272217
183,124,7Networks_RH_SomMot_9,SomMot,76,0.010644542053341866,0.0050360579043626785,0.03187558799982071,0.02683953195810318
184,118,7Networks_RH_SomMot_3,SomMot,97,0.010299193672835827,-0.0008955008233897388,0.0024733629543334246,0.0033688624389469624
185,171,7Networks_RH_Cont_PFCl_2,Cont,68,0.010154959745705128,0.00782189704477787,0.025569137185811996,0.017747238278388977
