rank,roi,name,network,n_vertices,mean_abs_diff,mean_signed_diff_bumbo_minus_tarol
131,38,7Networks_LH_DorsAttn_Post_8,DorsAttn,98,0.01526652928441763,-0.0005807396955788136
132,63,7Networks_LH_Cont_Par_3,Cont,74,0.01526516955345869,0.0014804122038185596
133,144,7Networks_RH_DorsAttn_Post_10,DorsAttn,70,0.01522828545421362,0.006074825301766396
134,82,7Networks_LH_Default_Par_4,Default,162,0.015191572718322277,0.003889985615387559
135,170,7Networks_RH_Cont_PFCl_1,Cont,89,0.015184799209237099,0.004277524072676897
136,7,7Networks_LH_Vis_7,Vis,111,0.014988471753895283,-0.009591707028448582
137,164,7Networks_RH_Limbic_TempPole_3,Limbic,69,0.01494330633431673,-0.005883355159312487
138,39,7Networks_LH_DorsAttn_Post_9,DorsAttn,143,0.01480783149600029,-0.0038634154479950666
139,44,7Networks_LH_SalVentAttn_ParOper_1,SalVentAttn,103,0.014801104553043842,-0.0004732755769509822
140,196,7Networks_RH_Default_PFCdPFCm_6,Default,57,0.014768610708415508,-0.007343648001551628
141,66,7Networks_LH_Cont_PFCl_1,Cont,93,0.014751671813428402,0.0052414205856621265
142,155,7Networks_RH_SalVentAttn_FrOperIns_4,SalVentAttn,117,0.014731407165527344,0.011330957524478436
143,35,7Networks_LH_DorsAttn_Post_5,DorsAttn,103,0.014659724198281765,0.008971473202109337
144,150,7Networks_RH_SalVentAttn_TempOccPar_3,SalVentAttn,131,0.0146406264975667,0.009644608944654465
145,133,7Networks_RH_SomMot_18,SomMot,104,0.014579882845282555,0.00941462628543377
146,162,7Networks_RH_Limbic_TempPole_1,Limbic,85,0.014528870582580566,0.00014146242756396532
147,161,7Networks_RH_Limbic_OFC_3,Limbic,63,0.01445841882377863,-0.0018254767637699842
148,28,7Networks_LH_SomMot_14,SomMot,107,0.014268609695136547,0.005664728581905365
149,128,7Networks_RH_SomMot_13,SomMot,52,0.014124357141554356,0.0066599166020751
150,153,7Networks_RH_SalVentAttn_FrOperIns_2,SalVentAttn,60,0.014095444232225418,0.008581955917179585
151,21,7Networks_LH_SomMot_7,SomMot,118,0.013985942117869854,0.0006972503615543246
152,27,7Networks_LH_SomMot_13,SomMot,90,0.013902475126087666,0.0026253515388816595
153,59,7Networks_LH_Limbic_TempPole_3,Limbic,68,0.013869750313460827,-0.0003295814385637641
154,154,7Networks_RH_SalVentAttn_FrOperIns_3,SalVentAttn,92,0.013752310536801815,0.006821359042078257
155,145,7Networks_RH_DorsAttn_FEF_1,DorsAttn,68,0.013749871402978897,0.004767950624227524
156,200,7Networks_RH_Default_pCunPCC_3,Default,87,0.013742889277637005,-0.004610847216099501
157,132,7Networks_RH_SomMot_17,SomMot,93,0.013609996065497398,0.00751575967296958
158,69,7Networks_LH_Cont_PFCl_4,Cont,140,0.013606473803520203,0.0043272036127746105
159,126,7Networks_RH_SomMot_11,SomMot,71,0.013563747517764568,0.00946124643087387
160,129,7Networks_RH_SomMot_14,SomMot,75,0.013518470339477062,0.00458978395909071
161,29,7Networks_LH_SomMot_15,SomMot,173,0.013391159474849701,0.0029641245491802692
162,42,7Networks_LH_DorsAttn_FEF_2,DorsAttn,94,0.013265823014080524,-0.004844475071877241
163,62,7Networks_LH_Cont_Par_2,Cont,56,0.013154975138604641,0.004214512649923563
164,184,7Networks_RH_Default_Par_3,Default,85,0.013056982308626175,0.00405646488070488
165,53,7Networks_LH_SalVentAttn_Med_2,SalVentAttn,106,0.012947488576173782,-0.0024207409005612135
166,124,7Networks_RH_SomMot_9,SomMot,76,0.01290308777242899,0.0038876200560480356
167,73,7Networks_LH_Cont_Cing_2,Cont,53,0.012858329340815544,0.0035230896901339293
168,131,7Networks_RH_SomMot_16,SomMot,94,0.012815022841095924,0.007441852241754532
169,43,7Networks_LH_DorsAttn_PrCv_1,DorsAttn,84,0.01241134200245142,-0.0033026039600372314
170,49,7Networks_LH_SalVentAttn_FrOperIns_3,SalVentAttn,106,0.012394366785883904,0.0033996496349573135
171,122,7Networks_RH_SomMot_7,SomMot,91,0.012180181220173836,0.0031046608928591013
172,157,7Networks_RH_SalVentAttn_Med_2,SalVentAttn,67,0.011908860877156258,0.003040964249521494
173,58,7Networks_LH_Limbic_TempPole_2,Limbic,133,0.011653541587293148,-0.0020442577078938484
174,61,7Networks_LH_Cont_Par_1,Cont,88,0.011650953441858292,-0.0010526158148422837
175,22,7Networks_LH_SomMot_8,SomMot,121,0.011577385477721691,0.007350631058216095
176,171,7Networks_RH_Cont_PFCl_2,Cont,68,0.011513836681842804,0.003730124793946743
177,120,7Networks_RH_SomMot_5,SomMot,68,0.011447534896433353,0.006154083646833897
178,40,7Networks_LH_DorsAttn_Post_10,DorsAttn,117,0.011353385634720325,0.006609349511563778
179,159,7Networks_RH_Limbic_OFC_1,Limbic,92,0.011202285997569561,0.000226848031161353
180,130,7Networks_RH_SomMot_15,SomMot,72,0.01095559075474739,0.004374054726213217
181,18,7Networks_LH_SomMot_4,SomMot,151,0.010824023745954037,-0.0015871913637965918
182,46,7Networks_LH_SalVentAttn_ParOper_3,SalVentAttn,140,0.01082336250692606,-0.0008762237266637385
183,45,7Networks_LH_SalVentAttn_ParOper_2,SalVentAttn,125,0.01078517735004425,0.0029624137096107006
184,50,7Networks_LH_SalVentAttn_FrOperIns_4,SalVentAttn,85,0.010726098902523518,0.0017804878298193216
185,19,7Networks_LH_SomMot_5,SomMot,118,0.01065374817699194,0.0031318864785134792
186,57,7Networks_LH_Limbic_TempPole_1,Limbic,114,0.010628120973706245,-0.0032011177390813828
187,36,7Networks_LH_DorsAttn_Post_6,DorsAttn,122,0.010444863699376583,0.0017704805359244347
188,125,7Networks_RH_SomMot_10,SomMot,51,0.010170238092541695,0.00560945738106966
189,191,7Networks_RH_Default_PFCdPFCm_1,Default,87,0.010127403773367405,-0.00024762487737461925
190,47,7Networks_LH_SalVentAttn_FrOperIns_1,SalVentAttn,111,0.010029476135969162,0.0045801689848303795
191,48,7Networks_LH_SalVentAttn_FrOperIns_2,SalVentAttn,145,0.009752487763762474,0.003952447324991226
192,119,7Networks_RH_SomMot_4,SomMot,90,0.009707309305667877,0.002063198946416378
193,17,7Networks_LH_SomMot_3,SomMot,137,0.00947085116058588,-0.005526537541300058
194,121,7Networks_RH_SomMot_6,SomMot,72,0.00941125862300396,0.00234396499581635
195,68,7Networks_LH_Cont_PFCl_3,Cont,144,0.009253185242414474,0.0016312553780153394
196,118,7Networks_RH_SomMot_3,SomMot,97,0.009219078347086906,-0.00020947368466295302
197,123,7Networks_RH_SomMot_8,SomMot,64,0.008997935801744461,0.0033130315132439137
198,55,7Networks_LH_Limbic_OFC_1,Limbic,91,0.007923300378024578,0.0021835051011294127
199,56,7Networks_LH_Limbic_OFC_2,Limbic,142,0.007812246680259705,-0.0007459305925294757
200,20,7Networks_LH_SomMot_6,SomMot,134,0.007553595118224621,0.0010845480719581246
201,0,Background,?,1380,0.006838592700660229,-0.0025076272431761026
