vertex_index,hemisphere,x_mm,y_mm,z_mm
342,L,-54.4961,-41.8071,-21.3352
343,L,-55.6850,-31.1162,-28.5042
344,L,-49.6447,-30.7727,-26.3539
345,L,-53.5445,-18.8728,-34.9139
346,L,-11.3671,-87.2397,7.4832
347,L,-6.6375,-81.1168,3.3846
348,L,-5.4442,-90.0294,-3.4652
349,L,-30.7907,-79.3569,-11.4579
350,L,-21.6086,-80.0305,-6.1197
351,L,-29.7549,-68.8888,-13.5412
352,L,-27.5266,-58.5376,-14.6048
353,L,-38.7995,-53.5314,-19.9718
354,L,-3.7337,-23.6040,4.7402
355,L,-7.3089,-26.0089,-4.7622
356,L,-11.8873,-33.2570,-1.6147
357,L,-16.0120,-47.0798,-7.2464
358,L,-21.1918,-39.0793,-7.0858
359,L,-20.0629,-41.2904,-10.0449
360,L,-24.0760,-37.1753,-14.7995
361,L,-28.1071,-49.0471,-5.1784
362,L,-48.1622,-10.4151,44.1618
363,L,-49.7808,-0.1475,44.5175
364,L,-47.6373,-4.9139,46.4779
365,L,-36.2162,-1.2073,45.1911
366,L,-28.7395,0.4583,49.5308
367,L,-45.8773,-21.6951,59.1050
368,L,-49.4307,-17.6905,52.6524
369,L,-38.9066,-22.0455,44.9822
370,L,-34.5728,-16.8949,38.5377
371,L,-22.6593,-31.5120,65.8675
372,L,-28.4463,-33.2485,66.1420
373,L,-30.8500,-30.2604,63.0965
374,L,-39.7417,-28.5132,61.4874
375,L,-14.9507,-16.3718,63.3886
376,L,-12.1415,-19.8958,72.8204
377,L,-19.0276,-21.8246,71.6641
378,L,-14.9676,-29.7140,57.6275
379,L,-23.3272,5.7006,47.9896
380,L,-21.5291,-5.4427,47.3638
381,L,-19.8096,-11.2057,57.5452
382,L,-8.7167,63.2388,7.6441
383,L,-9.3896,53.8165,13.0723
384,L,-7.9905,61.2986,20.7446
385,L,-7.9448,54.2531,34.8128
386,L,-9.2763,43.1542,45.3507
387,L,-34.6713,51.8135,2.8779
388,L,-28.5545,52.1766,-5.2998
389,L,-22.7639,51.1072,0.8197
390,L,-16.9137,61.9542,2.8207
391,L,-45.2856,30.5362,26.4265
392,L,-43.3869,31.0593,20.4678
393,L,-40.7496,38.1283,20.9968
394,L,-37.0937,46.7530,12.3293
395,L,-37.8418,-23.4097,20.3550
396,L,-33.0761,-22.1578,17.8780
397,L,-41.2685,-11.4119,18.5398
398,L,-44.0013,-0.0857,12.9844
399,L,-43.1562,10.9838,5.1602
400,L,-59.4163,-19.7891,24.4721
401,L,-59.1436,-27.3013,18.3575
402,L,-53.6536,-20.0131,21.6427
403,L,-45.9727,-20.8319,19.2089
404,L,-41.7339,-63.6925,33.8378
405,L,-37.9073,-59.5959,26.0268
406,L,-48.0685,-59.3291,28.3917
407,L,-51.6636,-54.4936,24.8303
408,L,-59.0105,-51.7025,22.5728
409,L,-33.0673,-50.3212,32.9667
410,L,-34.5843,-58.8252,37.1278
411,L,-40.0787,-58.6818,39.7863
412,L,-44.2934,-65.0975,42.8496
413,L,-7.5908,-72.5809,39.7650
414,L,-17.7759,-78.0457,33.1635
415,L,-17.3017,-76.2719,42.2149
416,L,-21.0082,-78.8186,39.0172
417,L,-23.6821,-71.8548,26.9654
418,L,-7.6598,-49.5187,59.2908
419,L,-7.3794,-48.6085,50.9335
420,L,-7.1023,-55.0453,52.9088
421,L,-7.6792,-63.1320,47.0506
422,L,-4.5397,12.8588,31.1435
423,L,-5.0690,3.9330,29.1953
424,L,-4.0733,-0.4683,34.0376
425,L,-3.6359,-14.1735,35.8498
426,L,-5.0604,-26.3353,37.2050
427,L,-7.9895,26.3549,-21.4350
428,L,-13.1762,14.6216,-14.0842
429,L,-8.3550,9.6512,-15.7697
430,L,-11.2945,-9.5026,-14.4467
431,L,-17.2780,-22.0536,-16.4142
432,L,-40.0855,-11.9201,-14.3690
433,L,-48.8441,3.1207,-17.2161
434,L,-42.1402,-4.5692,-20.7732
435,L,-39.6525,3.0861,-25.9139
436,L,-33.5167,3.1006,-27.9448
437,L,-63.1877,-44.8654,-2.6378
438,L,-59.0001,-46.1409,-8.6918
439,L,-62.1682,-37.8542,-11.0599
440,L,-65.2229,-26.4114,-15.4686
441,L,-62.1483,-15.3649,-21.1529
442,L,-15.1285,-98.2866,-3.6644
443,L,-8.6508,-96.5713,-11.0401
444,L,-17.1460,-96.5710,-15.9065
445,L,-28.2448,-86.2038,-16.9301
446,L,-39.4193,-75.6497,-15.1243
447,L,-6.2026,-37.7289,5.6751
448,L,-16.9316,-38.4332,4.2282
449,L,-11.5955,-44.2168,1.5111
450,L,-20.0852,-52.0099,-3.8640
451,L,-10.0661,-59.2674,-1.6148
452,L,-59.4908,1.0810,17.8424
453,L,-52.8730,3.1441,13.3571
454,L,-52.4455,4.0336,22.0022
455,L,-38.2411,3.4724,23.6333
456,L,-33.8291,13.1927,28.3466
457,L,-37.4641,4.8515,38.8152
458,L,-38.6464,13.7293,35.7780
459,L,-44.8956,23.2918,32.3350
460,L,-38.5654,28.8921,32.8667
461,L,-30.4602,34.2001,34.4646
462,L,-25.1173,37.2037,32.5346
463,L,-46.5064,-41.5655,41.0311
464,L,-53.7598,-41.4748,46.2295
465,L,-48.9491,-36.2192,39.5544
466,L,-52.1623,-30.0245,34.2812
467,L,-53.9015,-24.0330,30.8490
468,L,-55.8917,-18.6863,46.4986
469,L,-58.1541,-17.0157,39.4394
470,L,-59.0133,-15.5080,30.5784
471,L,-62.4790,-8.9375,26.0517
472,L,-57.6890,-9.1377,16.9172
473,L,-20.2041,-58.6903,62.9782
474,L,-21.2335,-62.8156,56.3844
475,L,-27.1157,-57.1121,62.7964
476,L,-34.7255,-54.8113,58.7631
477,L,-34.5464,-50.6892,52.0752
478,L,-28.8948,-36.9639,52.5824
479,L,-34.9556,-43.9574,52.4697
480,L,-32.8094,-46.4379,43.5195
481,L,-35.5716,-44.0853,37.6852
482,L,-40.8931,-42.7266,38.5688
483,L,-5.4937,-9.8272,51.4005
484,L,-11.9885,-19.2700,46.3258
